4,0,2021/07,Nikkei,Chip crunch catches up with China auto sales for double-digit drop,"GUANGZHOU/SHANGHAI -- A large red banner at a Nissan Motor dealership in Guangzhou urges visitors to buy soon, but not for the typical reasons."
6,0,2021/07,Nikkei,SK Hynix Q2 profit doubles amid strong memory chip demand,SEOUL -- Operating profit at South Korea's SK Hynix doubled in the second quarter from the previous three-month period on strong demand for memory chips amid the coronavirus pandemic.
8,0,2021/07,Nikkei,Tesla makes record profit despite China headwind and chip crunch,"PALO ALTO, U.S. -- Tesla reported record profit for the second quarter on Monday, defying supply challenges and headwinds in China."
3,0,2021/07,Nikkei,China chip giant Tsinghua Unigroup says creditor seeks bankruptcy,"TAIPEI/HONG KONG -- Embattled Chinese tech flagship Tsinghua Unigroup confirmed Friday that one of its creditors has asked a court to begin bankruptcy proceedings for the group, in the latest setback to China's goal of building a self-reliant semiconductor industry."
73,1,2021/10,Eletimes,Is Chinaí»s Economic Miracle Phasing Out.,"Policymakers increasingly saw China as a threat to the world economy. China is the world’s largest growing economy currently standing at number two and it will be no magic if its GDP tops the chart and makes it number one. American Politician and the former director of National Intelligence John Ratcliffe called China not only the “greatest threat to America” but also “the greatest threat to democracy and freedom worldwide since World War II. Though China does not harbor Hitler‐​style ambitions of extensive conquest, the Chinese government depends on the world economy for development and the consequent acquiescence of the Chinese people. Presently, Rather than rising to anything that could be conceived to be “dominance,” China could decline into substantial economic stagnation. It faces many problems, including the aging population, environmental devastation, slowing growth, enormous overproduction, increasing debt, and lacking foreign investments. Should we call it a complete demise or should we wait for them to rise again?Evergrande’s Domino Effect:Evergrande Real Estate currently owns more than 1,300 projects in more than 280 cities across China. The broader Evergrande Group now encompasses far more than just real estate development. Its businesses range from wealth management, making electric cars and food and drink manufacturing. It even owns one of the country’s biggest football teams – Guangzhou FC.Why is Evergrande in major trouble? Evergrande expanded aggressively to become one of China’s biggest companies by borrowing more than $300bn. Last year, Beijing brought in new rules to control the amount owed by big real estate developers.The new measures led Evergrande to offer its properties at major discounts to ensure money was coming in to keep the business afloat. Now, it is struggling to meet the interest payments on its debts. This uncertainty has seen Evergrande’s share price tumble by around 80% this year. Its bonds have also been downgraded by global credit rating agencies. Banks have reportedly declined to extend new loans to buyers of uncompleted Evergrande residential projects, while rating agencies have repeatedly downgraded the firm, citing its liquidity crunch.Some of the major foreseen effects due to this dissolution- China’s Coal CrunchChina’s coal crunch is a much bigger concern than Evergrande bankruptcy. The world’s 2nd biggest economy is all grappling with a power cut which is not only going to impact their industrial output but will be a great struggle for China’s residential people. China’s powerful state planner comes to a collision as the biggest source of power comes to a massive crunch.Looking at the domestic coal situation first, it’s clear that supply has become an issue in 2021. While the big-picture gain of 4.4% over the first eight months of the year to 2.6 billion tonnes doesn’t seem too bad, the detail shows that production has been in a downward trend for most of the year, reversing only in August. Production did recover to 335.24 million tonnes in August, but the total so far this year is still well below China’s potential output.China produced a record-high 351.89 million tonnes in December last year, as mines ramped up output to meet demand in a colder-than-expected winter. Since then, domestic production slumped to 314.17 million tonnes in July, the lowest since May 2019. Now, it is struggling and even fearing the winter season as its heat source is almost consumed and now they barely have enough to survive their manufacturing units and after that if they may have options, they would manage power cuts. Heat will be more than a luxury for China’s people this winter season.Some of the major impacts due to this crunch-How is China dominating global investment?Overseas investment offers China an opportunity to not just bolster its own economy, but also leverage its economic strength to increase its influence abroad. Driven in part by Beijing’s “Going Out” strategy and the Belt and Road Initiative, both of which encourage investment in foreign markets, Chinese firms have actively expanded their overseas footprint in a range of sectors in recent years. The Belt and Road initiative announced in 2013 aims to strengthen China’s global connectivity. As per official data for Chinese investments in the 140 countries of the Belt and Road Initiative show that overall financing and investments in the BRI in the first six months of 2021 was about US$19.3 billion. This is a decline of 32% compared to the second half of 2020 and a decline of 29% compared to the first half of 2020. It is also US$44 billion less compared to the peak in BRI financing in the second half of 2019.China’s dominating institution and cusp economy is leading countries to bail out from receiving the investment. In fact, more recently India is set to clear 45 investment proposals from China, which are likely to include those from Great Wall Motor and SAIC Motor Corp. It is evident that about 150 investment proposals from China worth more than $2 billion were stuck in the pipeline. Companies from Japan and the US routing investment through Hong Kong were also caught in the cross-fire as an inter-ministerial panel led by the interior ministry increased scrutiny of such proposals. It is not just India which is stretching their hands back but all major countries. It is happening because of China’s forever interest in disputed lands or properties and then dominating or pressurizing the countries later for their investment’s interest rates.India, Taiwan’s chip connection; erupting a volcano in China’s homeland India accelerates talks with Taiwan on a $7.5-billion chip plant. They are in talks on an agreement that could bring chip manufacturing to South Asia along with tariff reductions on components for producing semiconductors by the end of the year. This chip plant to India can supply everything from 5G devices to electric cars that too at minimal prices. India is currently studying possible locations with adequate land, water and manpower, while saying it would provide financial support of 50% of capital expenditure from 2023 as well as tax breaks and other incentives.How is India’s accelerated talk with Taiwan going to impact China’s downfall?This fresh agreement of Taiwan with India is going to impact China’s growing economy as they are already fighting the fuel crunch, increasing debt and post pandemic era and this agreement will be an add on to their existing problems. India has everything from land, to resources, to man power- everything same as China but lacks the opportunity to gain profits from such agreements. Now that we have an opportunity in our hands, it will be a step upward to beat China’s chip industry and their unsaid rivalry with India. A report said this move could be the spark that will start fresh tension with China. Here is how it built up-Now that everything is turning against China, they will have to dig some deep treasure to make the terms turn in favor of them. But the fact that the Chinese economy is so large is going to have multifold impacts on the world’s economy for each of its loopholes or unprecedented mishaps. Be its slower growth, increasing debt, energy crunch, losing investors, or sudden bankruptcy of its biggest real estate giant, everything has a domino effect on the world’s economy. Is the world going to cry on China’s demise?"
75,1,2021/10,Eletimes,Solar Energy could be Cheap and Reliable Across China by 2060,"At the upcoming UN Climate Change Conference in Glasgow, Scotland, much attention will be focused on China. As the world’s largest CO2 emitter, China’s efforts to decarbonize its energy system will be critical to the goal of limiting the rise in global average surface temperature to 1.5 degrees Celsius. China has already made major commitments to transitioning its energy systems towards renewables, especially power generation from solar, wind and hydro sources. However, there are many unknowns about the future of solar energy in China, including its cost, technical feasibility, and grid compatibility in the coming decades. Recent projections of the cost of future solar energy potential in China have relied on outdated and overestimated costs of solar panels and their installation and storage technologies like lithium-ion batteries.How much will solar power really cost in China in the coming decades, including the challenges its inherent variability poses to the grid?Researchers from Harvard, Tsinghua University in Beijing, Nankai University in Tianjin and Renmin University of China in Beijing have found that solar energy could provide 43.2% of China’s electricity demands in 2060 at less than two-and-a-half U.S. cents per kilowatt-hour. For comparison, coal power tariffs in China ranged 3.6 to 6.5 cents per kilowatt-hour in 2019.“The findings highlight a crucial energy transition point, not only for China but for other countries, at which combined solar power and storage systems become a cheaper alternative to coal-fired electricity and a more grid-compatible option,” said Michael B. McElroy, the Gilbert Butler Professor of Environmental Studies at the Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS) and co-corresponding author of the study.“Today, subsidy-free solar power has become cheaper than coal power in most parts of China, and this cost-competitive advantage will soon expand to the whole country due to technology advances and cost declines,” said Xi Lu, Associate Professor, School of Environment, Tsinghua University. “Our results demonstrate that the economic competitiveness of solar power combined with investments in storage systems could provide extra benefits for grid dispatch, which will be especially important for operation of future electric systems in China.”Lu received his Ph.D. from the Harvard Graduate School of Arts and Sciences and began laying groundwork for the study as a postdoctoral fellow and research associate at the SEAS-based Harvard-China Project on Energy, Economy and Environment.The research team developed an integrated model to assess solar energy potential in China and its cost from 2020-2060. The model first takes into account factors such as land uses throughout China, possible tilt and spacing of solar panels, and meteorological conditions like solar radiation and temperature to estimate the physical potential of solar power across both space and time.The team then integrated the investment costs and speed of technological changes to capture the evolving cost-competitiveness of solar power relative to coal power now and in the future. Building on this foundation, the study developed an hourly optimization model to evaluate the additional costs of power storage systems needed to smooth the variations of solar output so that it can be integrated into the grid to match electricity demand.The researchers first found that the physical potential of solar PV, which includes how many solar panels can be installed and how much solar energy they can generate, in China reached 99.2 petawatt-hours in 2020. This is more than twice the country’s total consumption of energy in all forms, including not only electricity but also fuels consumed directly by vehicles, factories, building heating and more. The findings show solar PV is an enormous resource for China’s decarbonization.They then demonstrated its cost-competitiveness, with 78.6% of the potential in 2020 equal to or lower than current prices of local coal-fired power, a share set to grow further. This cost advantage means China can invest in storage capacity, such as batteries, and still cost-effectively supply 7.2 petawatt-hours or 43.2% of country-wide electricity demand by 2060.“Most now realize that climate change requires transitioning away from fossil energy use,” said Chris P. Nielsen, executive director of the Harvard-China Project and a co-author of the paper. “Not as many realize that decarbonizing the power system is the linchpin, especially as more sectors become electrified, and that accommodation by the grid of renewable variability is the toughest part of the puzzle. It’s a huge breakthrough, and not just for China, if storage can make solar power grid-compatible at a competitive cost.”“Our research shows that if costs continue to decline, especially for storage, there could be opportunities to power vehicles, heat or cool buildings, or to produce industrial chemicals, all using solar energy. This would extend the climate and environmental benefits of solar energy far beyond the power sector as traditionally conceived,” said Shi Chen, who helped lead the study as a Tsinghua Ph.D. student and a visiting fellow at the Harvard-China Project."
74,1,2021/10,Eletimes,Shortage of Lithium-ion Batteries in Indian EV Industry,"For Indian automakers, this isn’t really turning out to be an electrifying Diwali. First, a chronic chip shortage has forced fuel-based carmakers to skip production shifts. And now, even electric vehicle (EV) manufacturers are struggling to source lithium-ion batteries, prices of which are heading north even more quickly.At the heart of the supply constraint is surging global demand – and a definitive shift in favour of the EV powertrain in Western Europe and the US. Additionally, factors such as production curbs in China due to a shortage of coal-fired power and congestion in shipping routes have hurt supplies to India from its northern neighbour.China is a key supplier of lithium-ion cells to India apart from South Korea and Taiwan.Furthermore, cell manufacturers prefer supplying to markets such as the richer neighbourhoods in Europe and the US – or markets that guarantee higher volumes.To be sure, sales of EVs still remain negligible in India compared with more mature markets such as China, the US and some European countries.According to Samrath Kochar, chief executive officer of Trontek Electronics, delays of 10-15 days in shipments from China have become the norm due to a shortage of containers. His company imports cells and assembles them into battery packs for several EV makers. “In September, our procurement declined by 50%; so our supplies also went down by 50%,” Kochar told.Shipments due in September have finally arrived this month, providing some relief, but there was uncertainty on the next consignment, Kochar said.‘Need Consortium for Big Orders’
Supply constraints have also significantly raised costs. Prices of battery-grade lithium carbonate have gone up to an all-time high after increasing 27% in just two weeks to September 30, according to a report by Benchmark Mineral Intelligence.Shipping costs, too, have gone through the roof. According to some estimates, the cost of shipping from China has surged four times compared with this time last year. Companies have also resorted to flying in cells through air freight in some cases to overcome shortages.All these have resulted in additional costs for EV makers. For example, Trontek has proposed a 5% increase in battery prices for its customers and hasn’t ruled out further increases.“Every time I answer the phone, the prices appear to have changed,” said Gaurav Uppal, CEO at electric motorcycles maker One Electric. Indian manufacturers need to form a consortium and place large orders to keep cell makers interested in this market, Uppal said. Else, global cell makers would route supplies to markets that guarantee volumes."
182,1,2021/10,Techradar,"Chip maker for Apple, Qualcomm, AMD warns chip shortage to last through 2022","The semiconductor shortage will definitely extend well into 2022 after the chip provider for some of the largest tech companies in the world said that production will struggle to meet the soaring demand for its products.In an online conference this week, TSMC CEO Dr. C.C. Wei said that TSMC foundry production capacity was still insufficient to satisfy the demand for its chips, especially orders for components used for high-performance computing (HPC) systems and 5G devices using the company's 5nm process node. The company's other process nodes, which are heavily used in automobiles, IoT, and server equipment, are also stretched thin according to the Taiwanese news outlet United Daily News. While TSMC is not nearly as large as Intel in terms of revenue, it has a much more diverse customer base since its chips are used by companies like Apple, AMD, Qualcomm to make everything from networking equipment to iPhones and graphics cards. Sponsored LinksSponsored LinksPromoted LinksPromoted LinksForge of Empires - Free Online GameIf You Like to Play, this City-Building Game is a Must-Have. No Install.Forge of Empires - Free Online GameIf TSMC is stretched thin across its most important process nodes, then a far greater number of industries are going to be impacted by the constrained capacity than if Intel were facing the same production constraints which impacts the more ""traditional"" computing market more than anything else.RECOMMENDED VIDEOS FOR YOU...In fact, even Intel is starting to contract with TSMC to make various chips and is itself starting to make chips for other companies like Amazon and Qualcomm to try and meet the global demand for semiconductor components. AMD vs Intel: which chipmaker does processors better?AMD vs Nvidia: who makes the better graphics card?We'll show you how to build a PCThe only way the chip shortage will ever be addressed, though, will be to build more foundries to increase capacity, since demand for this most essential component of modern technology is only going to increase in the future as more of everyday life becomes digitized, from smartphones to smart cities.Dr. Wei also said during the conference that the company expects to begin mass production on its 2nm process node in 2025, and the company broke ground earlier this year on a new foundry in Arizona based on its 5nm process, which is expected to be completed in 2024.Rival semiconductor fabricator Samsung, meanwhile, is in negotiations to invest $17 billion into a second semiconductor foundry in Texas, in addition to increasing investment in its current plant in Austin to boost capacity.Intel is set to spend around $20 billion to build two new foundries in Arizona and recently contracted with the US Department of Defense to build capacity for the company's most advanced node, 18A, which it expects to begin use in production starting in 2025.(Image credit: FREDERIC J. BROWN/AFP via Getty Images)The chip shortage will never go away, here's whyWhile most industry professionals will tell you that they expect the chip shortage will last into 2022, this might leave the impression that sometime in 2022, the chip shortage is going to end and that you'll be able to finally buy a PS5 or the best graphics cards that are all but vaporware right now.That's not quite what they're saying, though, since businesses project conditions out to a certain point in time to plan their business strategies, production, and inventories. Given the number of variables involved in such financial modeling, you can only really take it so far before your numbers become unreliable. That's what CEOs and such actually mean when they say the chip shortage will last through 2022.That means, in 2022, they could all show up at conferences to say that the chip shortage will last through 2023 or 2024, and honestly, that is what's going to happen unless the new reality that this chip shortage isn't a shortage at all, but a systemic deficit settles in.Chip foundries take years to build, so a number of new plants that come online in four years are going to do anything to meet the demand for chips as it currently exists. And as anyone with a cellphone that starts to degrade in performance after a couple of years can tell you, just because TSMC or Samsung fabricated the chip that runs your phone today doesn't mean that they've satisfied your demand, at least not permanently.Every couple of years, those foundries are going to have to fab all new chips to power your next phone, and the one after that. On top of that, they now also have to fab the chips that run your new Wi-Fi 6 router, and your Nest Hello doorbell, and your car. They're also going to have to build the chips to meet the demands of all the new customers they're picking up in parts of the world that had been neglected for the past twenty years in the Global South and many parts of Asia that are starting to see a booming consumer market for these goods.And that's just consumer electronics, we're not talking about all the new networking infrastructure we're going to need for the delayed 5G rollout, and then 6G when that comes around down the road.Demand is only increasing, and its growth is likely to be closer to exponential rather than linear. Adding to the number of fabrication plants isn't going to be enough to keep up when we need to be multiplying the number of plants.On top of all that, you have a physical supply chain that can disrupt production capacity at any number of points along the way, something we're seeing even with the recent port crisis in the US. All the while, demand might slow or even flatten out a bit, for a while, but it will never suddenly start declining in a way that could allow production to catch up. Intel Alder Lake release date, specs and price – everything we know"
186,1,2021/10,axios,Technology Micron to spend $150 billion on chip plants,"Memory chip maker Micron is announcing plans to spend $150 billion over the next 10 years, much of which will go to building new chip plants, potentially in the U.S.Driving the news: Micron is willing to expand in the U.S. — but wants a commitment on government funding for the chip industry.Context: Whereas the bulk of memory chips were once made in the U.S., today only about 2% of global capacity is here, with the most advanced chips coming largely from Taiwan, China and Korea. Between the lines: In making the announcement, Micron is hoping to convince Congress (as well as governments in other countries) to move forward quickly with tax incentives as the company weighs where to locate its next manufacturing plants.Micron chief strategy officer David Moore told Axios that the company is likely to locate much of its new capacity in places where it already has operations, a list that includes the U.S., but also locations throughout Asia, including Singapore, Japan, Taiwan and China.""Concentration is something we view as a risk overall to the supply chain,"" Moore said."
171,1,2021/10,Techradar,Sony and TSMC may team up to tackle global chip shortages,"Taiwanese tech powerhouse TSMC and Japan’s giant Sony are reportedly joining forces to build a chip factory in the latter’s home country. According to Nikkei reports, the two companies, together with several other partners (including the Japanese government) want to try and alleviate some of the pressure created by the acute chip shortage that came as a side-effect of the Covid-19 pandemic, as well as creating a contingency plan in case China makes any sudden moves against Taiwan.The factory would cost approximately $7 billion, with the Japanese government allegedly interested in covering half of the expenses. TSMC would have majority control, while Sony would provide the real estate needed to build the factory. The two would build chips for all kinds of devices, including cars, which is why car parts maker Denso is also apparently interested in taking part in the project.We've put together a list of the best business laptops aroundThese are the best workstations on the market todayAlso check out our roundup of the best mobile workstationsIf all goes according to plan, the factory would be up and running by 2024. Given that the chip shortage is expected to last at least until 2023 (if the demand remains at current levels), the duo could make it to the market just in time to help the wider market bounce back from Covid and add much-needed stability. RECOMMENDED VIDEOS FOR YOU...China destabilizingFurthermore, the relationship between China and neighboring Taiwan is all but stable right now, and the fact that most of the chip manufacturing is concentrated in China has TSMC worried.So far, both companies have refused to comment, but the media argue that such a move would make perfect sense, if nothing than from an economic perspective. By 2024, highly connected, semi-autonomous vehicles should no longer be a novelty. And, with the proliferation of IoT, and the ever-growing market of mobile devices and smartphones, as well as the expanding reach of 5G tech, the demand for chips will only grow.We've also featured the best business PCsVia Nikkei"
